City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Negombo,7.2083,79.8358,87.8,74,40,4.61,LK,scattered clouds
80,Rafaela,-31.2503,-61.4867,63.0,61,0,1.99,AR,clear sky
81,Torbay,47.6666,-52.7314,48.0,61,20,18.41,CA,few clouds
82,Umm Lajj,25.0213,37.2685,82.85,55,0,8.5,SA,clear sky
83,Leningradskiy,69.3833,178.4167,14.25,90,15,4.88,RU,few clouds
84,Geraldton,-28.7667,114.6,64.4,82,2,1.14,AU,clear sky
85,Sao Joao Da Barra,-21.6403,-41.0511,80.6,69,0,2.3,BR,clear sky
86,Souillac,-20.5167,57.5167,78.8,78,75,16.11,MU,broken clouds
87,Martapura,-3.4167,114.85,80.6,83,75,4.61,ID,broken clouds
88,Fortuna,40.5982,-124.1573,46.0,100,90,11.5,US,overcast clouds
89,Gat,31.61,34.7642,86.0,37,5,3.0,IL,clear sky
90,Georgetown,5.4112,100.3354,86.0,74,20,3.44,MY,few clouds
91,Heswall,53.3273,-3.0965,60.01,47,0,10.36,GB,clear sky
92,Thompson,55.7435,-97.8558,23.0,63,75,6.91,CA,broken clouds
93,Koundara,12.4833,-13.3,104.52,12,20,3.51,GN,few clouds
94,Hailey,43.5196,-114.3153,39.2,81,90,4.61,US,drizzle
95,Laguna,38.421,-121.4238,53.01,71,20,6.91,US,few clouds
96,Guerrero Negro,27.9769,-114.0611,56.12,89,57,11.63,MX,broken clouds
97,Turukhansk,65.8167,87.9833,22.03,80,8,12.57,RU,clear sky
98,Klaksvik,62.2266,-6.589,50.0,71,100,12.66,FO,overcast clouds
99,Bredasdorp,-34.5322,20.0403,62.6,77,100,2.3,ZA,overcast clouds
100,Lompoc,34.6391,-120.4579,46.99,87,100,3.06,US,overcast clouds
101,Codrington,-38.2667,141.9667,51.1,91,0,6.22,AU,clear sky
102,Yellowknife,62.456,-114.3525,-2.2,71,40,3.44,CA,scattered clouds
103,Port Macquarie,-31.4333,152.9167,57.0,99,29,1.99,AU,scattered clouds
104,Galesong,-5.3166,119.3661,80.6,100,20,3.44,ID,few clouds
105,Tasiilaq,65.6145,-37.6368,37.4,75,75,5.75,GL,broken clouds
106,Shache,38.4167,77.2406,73.9,12,5,11.39,CN,clear sky
107,Galt,38.2546,-121.3,53.01,79,100,1.19,US,overcast clouds
108,Haicheng,40.8516,122.7475,57.49,25,100,5.06,CN,overcast clouds
109,Te Anau,-45.4167,167.7167,39.13,94,92,4.54,NZ,light rain
110,Chuy,-33.6971,-53.4616,62.85,64,3,12.33,UY,clear sky
111,Talnakh,69.4865,88.3972,9.01,94,43,5.53,RU,scattered clouds
112,Constantine,36.365,6.6147,78.8,34,0,12.66,DZ,clear sky
113,Isla Mujeres,21.2311,-86.731,82.4,74,40,10.36,MX,scattered clouds
114,Avarua,-21.2078,-159.775,75.2,88,75,12.66,CK,broken clouds
115,Lasa,46.6166,10.7002,75.2,33,40,8.05,IT,scattered clouds
116,Cape Town,-33.9258,18.4232,75.99,60,0,14.97,ZA,clear sky
117,Miguel Alves,-4.1656,-42.8953,86.63,61,92,3.53,BR,overcast clouds
118,Iqaluit,63.7506,-68.5145,33.8,86,90,5.75,CA,light snow
